Dataset Class,Dataset,Vertices,Edges,Density,Maximum degree,Minimum degree,Average degree,Average degree variance,Global clustering coefficient,Average clustering coefficient,Dijkstra Avg Time,SLF-LLL Avg Time,Gunrock Avg Time,Speedup SLF-LLL over Dijkstra,Speedup Gunrock over Dijkstra,Speedup Gunrock over SLF-LLL,Average visited Bellman-Ford,Average visited Dijkstra,Average visited SLF-LLL
random184,rand50000_184_55,50000,9215482,0.00368627,399,0,184.31,2993.98,0.00406138,0.00430598,108.05497999999997,47.74513999999999,3.8184524,2.2631618631760215,28.298108416907326,12.503793421649041,26913620.0,37766386.0,15232837.0
random184,rand100000_184_60,100000,18457582,0.00184578,458,0,184.576,3583.23,0.00206911,0.00221656,229.81981,99.82513999999999,6.3454707,2.302223768481567,36.21792942799342,15.731715536878925,54934643.0,75801111.0,31900003.0
random184,rand500000_184_10,500000,92255596,0.000369023,233,138,184.511,99.8842,0.000366538,0.000366731,1707.5234999999998,738.0185400000003,28.340667999999997,2.3136593560373147,60.24993835713399,26.04097193474763,299414480.0,376081350.0,160873850.0
random184,rand250000_184_25,250000,46122060,0.000737956,293,74,184.488,623.863,0.000750281,0.000755686,694.1191399999999,300.22637000000003,14.278232000000003,2.311985919158267,48.61380176481232,21.026858927631935,144225270.0,188178310.0,79424529.0
random184,rand100000_184_55,100000,18445604,0.00184458,419,0,184.456,3019.44,0.00203165,0.00215157,230.74045,100.30922999999999,6.3674225,2.3002913091846087,36.2376534618207,15.7535062264205,55044563.0,75663376.0,31661784.0
random184,rand250000_184_0,250000,46000000,0.000736003,184,184,184.0,0.0,0.000728679,0.000728679,695.75776,301.93453,14.155738000000001,2.3043331943517686,49.15022869171497,21.329479960705683,144101340.0,187345110.0,78681166.0
random184,rand50000_184_10,50000,9225706,0.00369036,226,144,184.514,100.6,0.00367069,0.00367251,105.1217,44.31183,3.7448034999999997,2.3723168282600833,28.071352742540434,11.83288522348369,27085545.0,37594759.0,14775789.0
random184,rand500000_184_35,500000,92221446,0.000368887,352,10,184.443,1224.66,0.000383149,0.0003901,1682.069,722.6731499999999,28.128909999999998,2.3275653730874053,59.7985844456824,25.691473647574682,299095950.0,376723700.0,163012270.0
random184,rand500000_184_15,500000,92251612,0.000369007,249,118,184.503,224.72,0.000368736,0.000369313,1675.8235,723.2739200000002,28.104788000000003,2.316996996103495,59.627686926512304,25.73490040202403,300150470.0,376116250.0,160775950.0
random184,rand250000_184_45,250000,46118700,0.000737902,413,0,184.475,2023.13,0.000787927,0.000816666,698.2308099999998,303.50522,14.215217,2.3005561815378326,49.1185473988895,21.35072718200503,143667150.0,188701950.0,80848986.0
random184,rand100000_184_0,100000,18400000,0.00184002,184,184,184.0,0.0,0.00181925,0.00181925,233.96228,99.48447999999999,6.3031199,2.3517465236788695,37.118487941186075,15.783371025513887,55221137.0,74974621.0,30457406.0
random184,rand100000_184_50,100000,18466170,0.00184664,401,0,184.662,2504.95,0.00200336,0.00209895,231.9821,100.13416,6.390329899999999,2.3167128979760756,36.30205382667334,15.669638589394266,55062741.0,75625571.0,31384755.0
random184,rand250000_184_60,250000,46170700,0.000738734,459,0,184.683,3585.48,0.0008291,0.000887429,689.58455,299.46770999999995,14.226791000000002,2.302700848782662,48.47084279230643,21.049561352240286,143242340.0,189553690.0,82614022.0
random184,rand500000_184_45,500000,92274632,0.000369099,392,0,184.549,2031.46,0.000394155,0.000409051,1725.6900999999998,755.98247,28.222410999999997,2.2827117935684402,61.14609060154357,26.78660125812781,297966880.0,377681610.0,164447520.0
random184,rand500000_184_0,500000,92000000,0.000368001,184,184,184.0,0.0,0.000364938,0.000364938,1699.8736,747.3844899999999,28.120658000000002,2.274429858719707,60.44928251678889,26.577773891350617,298368400.0,374706370.0,159836060.0
random184,rand500000_184_25,500000,92236060,0.000368945,303,62,184.472,625.897,0.000375604,0.000378344,1678.7505000000006,721.47649,28.240324,2.326826339136845,59.445157215618366,25.547741236963144,299369370.0,376375290.0,161447490.0
random184,rand50000_184_5,50000,9225436,0.00369025,205,164,184.509,25.2011,0.00366158,0.00366218,106.32923999999998,45.07874000000001,3.7705302,2.358744720903911,28.200076477308148,11.955544077063754,27277338.0,37587495.0,14753433.0
random184,rand500000_184_50,500000,92291630,0.000369167,403,0,184.583,2513.02,0.000400168,0.000419063,1694.7667,743.52107,28.100863000000004,2.2793795204754588,60.31012997714695,26.45901195276458,299105840.0,378105880.0,166061690.0
random184,rand100000_184_25,100000,18453226,0.00184534,305,81,184.532,626.275,0.00187562,0.00188862,232.59447,99.19385,6.331832899999999,2.3448476896501145,36.734145337284566,15.66589825830685,55531705.0,75338867.0,30766581.0
random184,rand250000_184_55,250000,46134006,0.000738147,435,0,184.536,3042.28,0.000814298,0.00086345,693.1627100000001,299.22429,14.256758,2.316532224038363,48.61993939996738,20.988242207660395,143459920.0,189219790.0,82194995.0
random184,rand50000_184_25,50000,9220976,0.00368846,287,67,184.42,622.867,0.00374235,0.00376851,103.32294000000002,43.38396999999999,3.7801998999999995,2.3815925559601863,27.332665661411195,11.476633815053008,27156110.0,37633552.0,14853891.0
random184,rand100000_184_20,100000,18449798,0.001845,272,94,184.498,399.977,0.00185967,0.00186656,233.68314999999998,99.83374000000002,6.3305886,2.3407231863696576,36.91333693678973,15.7700565157559,55554346.0,75237605.0,30598920.0
random184,rand500000_184_60,500000,92252124,0.000369009,476,0,184.504,3586.47,0.000414469,0.000444363,1677.1753000000003,744.0336500000001,27.931909800000003,2.25416592381272,60.045135187999215,26.637407013250485,297177730.0,378793800.0,168766000.0
random184,rand500000_184_5,500000,92248842,0.000368996,209,162,184.498,25.0966,0.000364975,0.00036501,1681.037,719.4698199999999,28.220869999999994,2.3364941145133793,59.5671572137925,25.494246633785565,299433650.0,375929370.0,160617250.0
random184,rand250000_184_35,250000,46113130,0.000737813,355,17,184.453,1223.37,0.000766026,0.000780417,690.73361,293.82273000000004,14.206,2.3508515151295475,48.62266718288048,20.68300225256934,143929970.0,188417910.0,80045239.0
random184,rand250000_184_50,250000,46107124,0.000737717,423,0,184.428,2501.08,0.000800281,0.000838274,700.7029600000001,306.74676999999997,14.28631,2.2843042813458156,49.04716193334738,21.47137854351473,143490010.0,188869360.0,81250286.0
random184,rand100000_184_10,100000,18448546,0.00184487,232,143,184.485,100.251,0.0018365,0.00183744,235.95429000000001,99.83476,6.343167900000002,2.3634482619079766,37.19817821628211,15.738943312536307,55508668.0,75191159.0,30619960.0
random184,rand250000_184_30,250000,46108584,0.00073774,337,44,184.434,897.515,0.000756803,0.000765975,703.1221500000001,305.80983,14.202128,2.299213697610702,49.508225105420834,21.53267665240026,144362490.0,188256680.0,79415274.0
random184,rand500000_184_40,500000,92276980,0.000369109,363,4,184.554,1598.28,0.000387696,0.000398031,1679.6735,724.1619099999999,28.175009,2.319472312483268,59.61572186188122,25.702277859077167,297271380.0,377339450.0,163257980.0
random184,rand50000_184_20,50000,9229578,0.00369191,265,111,184.592,403.516,0.00372346,0.00373697,105.81968,44.83882999999999,3.7813862,2.360000918846456,27.984361925264338,11.85777586008009,27156719.0,37624775.0,14861141.0
random184,rand100000_184_35,100000,18457886,0.00184581,334,41,184.579,1220.24,0.00191646,0.0019518,232.69992000000005,99.36207,6.350612900000001,2.3419391323067247,36.64212000703114,15.646059925963995,55392737.0,75443281.0,30840329.0
random184,rand250000_184_20,250000,46134706,0.000738158,294,96,184.539,400.583,0.000745137,0.000747848,700.70929,303.31623,14.309097000000001,2.310160883906542,48.96949751616052,21.197440341623235,144546660.0,188199680.0,79156457.0
random184,rand50000_184_35,50000,9239566,0.0036959,330,35,184.791,1229.01,0.00384138,0.00391272,118.81381000000002,55.05372000000001,3.8026719000000004,2.158143173612973,31.244822883615072,14.477641365798613,27161282.0,37765289.0,15013406.0
random184,rand500000_184_20,500000,92234032,0.000368937,291,88,184.468,399.339,0.000371344,0.000372676,1715.1299000000001,739.26033,28.228786999999997,2.320062135621426,60.75818631526747,26.188172024536513,299710930.0,376176280.0,161007150.0
random184,rand50000_184_30,50000,9216680,0.00368675,304,69,184.334,894.381,0.00378352,0.00382791,105.20249,44.38403,3.7822006,2.3702780031466273,27.81515343210511,11.734975135903687,27118640.0,37648779.0,14892327.0
random184,rand500000_184_55,500000,92188124,0.000368753,467,0,184.376,3019.14,0.000407007,0.000431249,1703.9777,773.4615199999998,28.168698000000003,2.203054264418998,60.49188712946547,27.45819206837319,296607980.0,378096510.0,167223530.0
random184,rand50000_184_0,50000,9200000,0.00368007,184,184,184.0,0.0,0.00363783,0.00363783,104.75274000000002,43.962889999999994,3.7580221999999996,2.382753727063895,27.874433525166516,11.698411467606551,27175373.0,37461809.0,14772272.0
