Dataset Class,Dataset,Vertices,Edges,Density,Maximum degree,Minimum degree,Average degree,Average degree variance,Global clustering coefficient,Average clustering coefficient,Dijkstra Avg Time,SLF-LLL Avg Time,Gunrock Avg Time,Speedup SLF-LLL over Dijkstra,Speedup Gunrock over Dijkstra,Speedup Gunrock over SLF-LLL,Average visited Dijkstra,Average visited SLF-LLL,Average visited Gunrock
extended_opposite,extended_opposite_250000,250000,2999976,4.79998e-05,16,10,11.9999,0.71488,0.251498,0.251211,47.84286999999999,21.875149999999998,20.769088,2.187087631399099,2.3035614274444787,1.053255203117248,4895953.3,3486263.0,24801565.24
extended_opposite,extended_opposite_479970,479970,5759616,2.50015e-05,14,10,11.9999,0.0448861,0.269023,0.269291,97.13753999999999,49.02401,34.159110999999996,1.9814278758510369,2.8436788065122656,1.4351664479792816,9450296.5,6810708.0,77032174.44
extended_opposite,extended_opposite_999993,999993,11999988,1.20002e-05,16,10,12.0001,0.716125,0.250933,0.250599,212.16247000000004,104.77631000000001,149.17025,2.024908779475055,1.4222840680363547,0.7023941436043716,19582690.0,13985672.0,202753740.24
temp,primal_747858,747858,4487136,8.0229e-06,8,4,5.99998,0.273916,0.264229,0.267295,97.25236999999998,42.94576,146.65822000000003,2.264539502851969,0.6631225307384746,0.2928288642805019,5285859.4,4571114.4,12899230.77
temp,primal_1994808,1994808,11968836,3.00781e-06,9,3,5.99999,0.321202,0.263825,0.267415,294.14819000000006,142.5462,226.88009000000002,2.0635288068008832,1.2964918605242093,0.6282887140956264,14217298.0,12221611.0,50392039.33
temp,primal_747858_k3,747858,27661456,4.94581e-05,47,29,36.9876,3.31448,0.299559,0.299621,285.73229000000003,138.08735,66.01442399999999,2.069214088039202,4.3283311841060685,2.091775427745912,62998128.0,32874383.0,68938287.43
temp,primal_1994808_k3,1994808,74117166,1.86259e-05,51,27,37.155,3.86846,0.29752,0.297579,838.1006600000001,383.265,111.04369799999999,2.1867393578855365,7.54748513508619,3.451479074481111,169230760.0,88265948.0,187563115.25
temp,primal_747858_k4,747858,46589030,8.33002e-05,75,50,62.2966,7.09526,0.285772,0.285742,406.1029500000001,192.56443,54.521432999999995,2.1089198560710307,7.44850103261226,3.531903315894137,124669810.0,57350381.0,106010885.0
temp,primal_1994808_k4,1994808,125027096,3.14197e-05,83,47,62.6763,8.3909,0.283201,0.283154,1199.3745999999999,540.9232400000001,94.45248699999998,2.2172731938823698,12.698179138469907,5.7269348556168795,334774500.0,153513460.0,275952004.0
temp,primal_747858_k5,747858,70547388,0.000126137,112,77,94.3326,13.2624,0.274723,0.274655,548.2935,252.44128,47.42330200000001,2.1719645059635253,11.561689652061764,5.32314852306151,212547160.0,88412485.0,155118783.87
temp,primal_1994808_k5,1994808,189557884,4.76365e-05,123,74,95.0256,15.9091,0.271884,0.271796,1607.0317999999997,717.24833,88.12796199999998,2.2405514698096263,18.235208934027092,8.138714588679585,571091900.0,236400220.0,408861718.4
